DATA FROM BINANCE
COLLECTED BY StonksBot#2363

StonksBot#2363 [02-Apr-2022]	[8:45] BTC $46639.69
StonksBot#2363 [02-Apr-2022]	[9:00] BTC $46769.99
StonksBot#2363 [02-Apr-2022]	[9:15] BTC $46771.60
StonksBot#2363 [02-Apr-2022]	[9:30] BTC $46734.37
StonksBot#2363 [02-Apr-2022]	[9:45] BTC $46412.58
StonksBot#2363 [02-Apr-2022]	[10:00] BTC $46517.26
StonksBot#2363 [02-Apr-2022]	[10:15] BTC $46409.13
StonksBot#2363 [02-Apr-2022]	[10:30] BTC $46441.27
StonksBot#2363 [02-Apr-2022]	[10:45] BTC $46519.80
StonksBot#2363 [02-Apr-2022]	[11:00] BTC $46606.54
StonksBot#2363 [02-Apr-2022]	[11:15] BTC $46572.83
StonksBot#2363 [02-Apr-2022]	[11:30] BTC $46502.84
StonksBot#2363 [02-Apr-2022]	[11:45] BTC $46558.66
StonksBot#2363 [02-Apr-2022]	[12:00] BTC $46504.01
StonksBot#2363 [02-Apr-2022]	[12:15] BTC $46512.55
StonksBot#2363 [02-Apr-2022]	[12:30] BTC $46551.53
StonksBot#2363 [02-Apr-2022]	[12:45] BTC $46444.16
StonksBot#2363 [02-Apr-2022]	[13:00] BTC $46547.09
StonksBot#2363 [02-Apr-2022]	[13:15] BTC $46538.98
StonksBot#2363 [02-Apr-2022]	[13:30] BTC $46478.11
StonksBot#2363 [02-Apr-2022]	[13:45] BTC $46586.21
StonksBot#2363 [02-Apr-2022]	[14:00] BTC $46614.63
StonksBot#2363 [02-Apr-2022]	[14:15] BTC $46542.50
StonksBot#2363 [02-Apr-2022]	[14:30] BTC $46455.00
StonksBot#2363 [02-Apr-2022]	[14:45] BTC $46524.64
StonksBot#2363 [02-Apr-2022]	[15:00] BTC $46584.49
StonksBot#2363 [02-Apr-2022]	[15:15] BTC $46575.31
StonksBot#2363 [02-Apr-2022]	[15:30] BTC $46542.37
StonksBot#2363 [02-Apr-2022]	[15:45] BTC $46528.49
StonksBot#2363 [02-Apr-2022]	[16:00] BTC $46547.38
StonksBot#2363 [02-Apr-2022]	[16:15] BTC $46580.00
StonksBot#2363 [02-Apr-2022]	[16:30] BTC $46579.96
StonksBot#2363 [02-Apr-2022]	[16:45] BTC $46586.88
StonksBot#2363 [02-Apr-2022]	[17:00] BTC $46682.49
StonksBot#2363 [02-Apr-2022]	[17:15] BTC $46638.13
StonksBot#2363 [02-Apr-2022]	[17:30] BTC $46585.65
StonksBot#2363 [02-Apr-2022]	[17:45] BTC $46622.54
StonksBot#2363 [02-Apr-2022]	[18:00] BTC $46741.33
StonksBot#2363 [02-Apr-2022]	[18:15] BTC $46653.68
StonksBot#2363 [02-Apr-2022]	[18:30] BTC $46612.51
StonksBot#2363 [02-Apr-2022]	[18:45] BTC $46651.01
StonksBot#2363 [02-Apr-2022]	[19:00] BTC $46541.72
StonksBot#2363 [02-Apr-2022]	[19:15] BTC $46600.00
StonksBot#2363 [02-Apr-2022]	[19:30] BTC $46760.68
StonksBot#2363 [02-Apr-2022]	[19:45] BTC $46847.06
StonksBot#2363 [02-Apr-2022]	[20:00] BTC $46719.01
StonksBot#2363 [02-Apr-2022]	[20:15] BTC $46781.71
StonksBot#2363 [02-Apr-2022]	[20:30] BTC $46854.76
StonksBot#2363 [02-Apr-2022]	[20:45] BTC $46810.13
StonksBot#2363 [02-Apr-2022]	[21:00] BTC $46754.98
StonksBot#2363 [02-Apr-2022]	[21:15] BTC $46683.63
StonksBot#2363 [02-Apr-2022]	[21:30] BTC $46710.49
StonksBot#2363 [02-Apr-2022]	[21:45] BTC $46595.37
StonksBot#2363 [02-Apr-2022]	[22:00] BTC $46617.08
StonksBot#2363 [02-Apr-2022]	[22:15] BTC $46337.76
StonksBot#2363 [02-Apr-2022]	[22:30] BTC $46469.99
StonksBot#2363 [02-Apr-2022]	[22:45] BTC $46290.51
StonksBot#2363 [02-Apr-2022]	[23:00] BTC $46277.02
StonksBot#2363 [02-Apr-2022]	[23:15] BTC $46363.12
StonksBot#2363 [02-Apr-2022]	[23:30] BTC $46320.26
StonksBot#2363 [02-Apr-2022]	[23:45] BTC $46415.27
StonksBot#2363 [03-Apr-2022]	[0:00] BTC $46328.77
StonksBot#2363 [03-Apr-2022]	[0:15] BTC $46340.92
StonksBot#2363 [03-Apr-2022]	[0:30] BTC $46405.99
StonksBot#2363 [03-Apr-2022]	[0:45] BTC $46416.63
StonksBot#2363 [03-Apr-2022]	[1:00] BTC $46375.90
StonksBot#2363 [03-Apr-2022]	[1:15] BTC $45772.53
StonksBot#2363 [03-Apr-2022]	[1:30] BTC $45915.99
StonksBot#2363 [03-Apr-2022]	[1:45] BTC $45851.05
StonksBot#2363 [03-Apr-2022]	[2:00] BTC $45811.03
StonksBot#2363 [03-Apr-2022]	[2:15] BTC $45947.51
StonksBot#2363 [03-Apr-2022]	[2:30] BTC $46099.97
StonksBot#2363 [03-Apr-2022]	[2:45] BTC $46175.50
StonksBot#2363 [03-Apr-2022]	[3:00] BTC $46123.36
StonksBot#2363 [03-Apr-2022]	[3:15] BTC $46220.52
StonksBot#2363 [03-Apr-2022]	[3:30] BTC $46272.29
StonksBot#2363 [03-Apr-2022]	[3:45] BTC $46254.52
StonksBot#2363 [03-Apr-2022]	[4:00] BTC $46207.94
StonksBot#2363 [03-Apr-2022]	[4:15] BTC $46126.58
StonksBot#2363 [03-Apr-2022]	[4:30] BTC $46023.25
